Linux 6.6.87.2-microsoft-standard-WSL2 (d75345d54402) 	10/30/25 	_x86_64_	(8 CPU)

09:43:00        CPU     %user     %nice   %system   %iowait    %steal     %idle
09:44:38        all     94.82      0.00      4.67      0.00      0.00      0.51
09:44:39        all     95.49      0.00      4.51      0.00      0.00      0.00
09:44:40        all     97.88      0.00      2.12      0.00      0.00      0.00
09:44:41        all     98.27      0.00      1.73      0.00      0.00      0.00
09:44:42        all     96.56      0.00      3.44      0.00      0.00      0.00
09:44:43        all     94.25      0.00      5.75      0.00      0.00      0.00
09:44:44        all     97.09      0.00      2.91      0.00      0.00      0.00
09:44:45        all     97.38      0.00      2.62      0.00      0.00      0.00
09:44:46        all     96.01      0.00      3.99      0.00      0.00      0.00
09:44:47        all     95.75      0.00      4.25      0.00      0.00      0.00
09:44:48        all     96.92      0.00      3.08      0.00      0.00      0.00
09:44:49        all     98.12      0.00      1.88      0.00      0.00      0.00
09:44:50        all     97.74      0.00      2.26      0.00      0.00      0.00
09:44:51        all     97.74      0.00      2.26      0.00      0.00      0.00
09:44:52        all     94.13      0.00      5.87      0.00      0.00      0.00
09:44:53        all     90.01      0.00      9.99      0.00      0.00      0.00
09:44:54        all     91.33      0.00      8.67      0.00      0.00      0.00
09:44:55        all     90.37      0.00      9.63      0.00      0.00      0.00
09:44:56        all     92.18      0.00      7.82      0.00      0.00      0.00
09:44:57        all     90.90      0.00      9.10      0.00      0.00      0.00
09:44:58        all     94.79      0.00      5.21      0.00      0.00      0.00
09:44:59        all     92.68      0.00      6.79      0.00      0.00      0.53
09:45:00        all     97.57      0.00      2.43      0.00      0.00      0.00
09:45:01        all     97.87      0.00      2.13      0.00      0.00      0.00
09:45:02        all     96.05      0.00      3.95      0.00      0.00      0.00
09:45:03        all     89.14      0.00     10.86      0.00      0.00      0.00
09:45:04        all     96.88      0.00      3.12      0.00      0.00      0.00
09:45:05        all     96.80      0.00      3.20      0.00      0.00      0.00
09:45:06        all     94.55      0.00      5.45      0.00      0.00      0.00
09:45:07        all     96.58      0.00      3.42      0.00      0.00      0.00
09:45:08        all     95.66      0.00      4.34      0.00      0.00      0.00
09:45:09        all     96.10      0.00      3.90      0.00      0.00      0.00
09:45:10        all     96.63      0.00      3.37      0.00      0.00      0.00
09:45:11        all     95.78      0.00      4.22      0.00      0.00      0.00
09:45:12        all     93.58      0.00      6.42      0.00      0.00      0.00
09:45:13        all     89.81      0.00      9.52      0.00      0.00      0.67
09:45:14        all     95.58      0.00      4.42      0.00      0.00      0.00
09:45:15        all     93.86      0.00      6.14      0.00      0.00      0.00
09:45:16        all     94.54      0.00      5.46      0.00      0.00      0.00
09:45:17        all     93.63      0.00      6.23      0.00      0.00      0.13
09:45:18        all     93.54      0.00      6.33      0.00      0.00      0.13
09:45:19        all     96.23      0.00      3.77      0.00      0.00      0.00
09:45:20        all     93.16      0.00      6.58      0.00      0.00      0.25
09:45:21        all     96.22      0.00      3.78      0.00      0.00      0.00
09:45:22        all     96.82      0.00      3.18      0.00      0.00      0.00
09:45:23        all     82.15      0.00     17.20      0.00      0.00      0.64
09:45:24        all     88.79      0.00      6.62      0.00      0.00      4.59
09:45:25        all     91.09      0.00      2.60      0.00      0.00      6.31
09:45:26        all     88.31      0.00      5.19      0.00      0.00      6.49
09:45:27        all     79.03      0.00      4.45      0.00      0.00     16.52
09:45:28        all     78.20      0.00      3.69      0.12      0.00     17.98
09:45:29        all     80.25      0.00      3.60      0.00      0.00     16.15
09:45:30        all     77.12      0.00      4.18      0.00      0.00     18.70
09:45:31        all     80.64      0.00      3.06      0.00      0.00     16.30
09:45:32        all     79.93      0.00      2.74      0.00      0.00     17.33
09:45:33        all     76.40      0.00      8.50      0.13      0.00     14.97
09:45:34        all     79.00      0.00      4.75      0.00      0.00     16.25
09:45:35        all     77.56      0.00      4.39      0.00      0.00     18.05
09:45:36        all     76.00      0.00      5.22      0.00      0.00     18.78
09:45:37        all     78.23      0.00      2.24      0.00      0.00     19.53
09:45:38        all     76.45      0.00      5.06      0.00      0.00     18.50
09:45:39        all     76.05      0.00      4.71      0.00      0.00     19.23
09:45:40        all     76.49      0.00      3.36      0.00      0.00     20.15
09:45:41        all     74.91      0.00      3.60      0.00      0.00     21.49
09:45:42        all     74.50      0.00      4.23      0.00      0.00     21.27
09:45:43        all     78.54      0.00      6.27      0.00      0.00     15.18
09:45:44        all     76.43      0.00      4.27      0.00      0.00     19.29
09:45:45        all     73.73      0.00      4.71      0.87      0.00     20.69
09:45:46        all     66.21      0.00      4.77      0.00      0.00     29.02
09:45:47        all     62.41      0.00      4.22      0.00      0.00     33.37
09:45:48        all     60.15      0.00      5.32      0.00      0.00     34.53
09:45:49        all     28.21      0.00      6.78      0.00      0.00     65.01
09:45:50        all     44.00      0.00      6.55      0.12      0.00     49.32
09:45:51        all     92.67      0.00      7.21      0.00      0.00      0.13
09:45:52        all     97.94      0.00      1.93      0.00      0.00      0.13
09:45:53        all     93.71      0.00      6.02      0.00      0.00      0.27
